symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,totalReturn,meanHourlyReturn,efficiency168h,return6h,volumeReturnCorrelation,range24h,volumeVolatility,meanVolume,volatility168h,range72h
"IOSTUSDT",481,"OutOfSample",48,0,0,-0.050654,-0.000046,0.011038,0,-0.032332,0.034602,37578315.090583,14596402.936828,0.006311,0.067114
"CELRUSDT",484,"Sample",16,0,0,0.458883,0.000551,0.008078,-0.014001,0.084341,0.036611,5247949.176355,7514119.124462,0.008687,0.101406
"THETAUSDT",494,"Sample",18,0,0,0.338876,0.000424,0.0816,0.006548,0.160527,0.046236,185210.512996,140653.852957,0.008497,0.067552
"ENJUSDT",495,"Sample",19,0,0,-0.028152,-0.000013,0.130435,0.006158,0.037781,0.033044,1006440.32345,705580.41586,0.007305,0.084356
"TFUELUSDT",519,"Sample",21,0,0,0.231293,0.000301,0.050602,0.008919,-0.069033,0.07287,1260683.137298,608621.403226,0.00743,0.085016
"ONEUSDT",525,"Sample",22,0,0,-0.366393,-0.000377,0.022039,0.00651,-0.270781,0.054667,189221271.937402,55048586.942876,0.007694,0.079794
"ALGOUSDT",541,"Sample",23,0,0,0.084918,0.000137,0.080103,-0.001167,-0.159724,0.033998,1005184.488873,889881.991935,0.00671,0.06078
"DOGEUSDT",558,"Sample",24,0,0,0.184756,0.000254,0.110401,-0.00576,-0.089627,0.031064,37654367.523061,24935397.439516,0.00651,0.0668
"DUSKUSDT",563,"Sample",25,0,0,0.175652,0.000285,0.079167,-0.02029,0.007358,0.080182,433302.552805,325854.189516,0.01102,0.099567
"ANKRUSDT",569,"Sample",26,0,0,0.150442,0.000208,0.031056,-0.005102,-0.038283,0.032746,10566590.384128,2131330.229839,0.006568,0.057072
"WINUSDT",577,"Sample",27,0,0,0.142959,0.000208,0.081542,0.014916,-0.333195,0.067393,488519935.041986,256652747.498656,0.009007,0.129976
"MTLUSDT",588,"Sample",28,0,0,0.127962,0.000187,0.026455,0.004219,0.025698,0.046809,125089.689551,22656.115457,0.006907,0.064935
"CVCUSDT",604,"Sample",29,0,0,0.043617,0.00008,0.007817,-0.004061,0.04296,0.044675,913536.28188,316247.821237,0.006716,0.08002
"CHZUSDT",609,"Sample",30,0,0,0.026316,0.00006,0.091787,-0.002257,-0.133035,0.026846,4325434.889151,3819333.63172,0.007086,0.074344
"BANDUSDT",612,"Sample",31,0,0,0.186184,0.000283,0.011064,-0.004967,0.142746,0.097254,219233.191177,55947.126478,0.014373,0.298165
"XTZUSDT",621,"Sample",32,0,0,0.056107,0.000096,0.088595,-0.002345,-0.062315,0.023463,164977.298142,79938.210484,0.006961,0.078111
"RVNUSDT",623,"Sample",33,0,0,-0.189041,-0.000188,0.122302,-0.003367,-0.185549,0.077966,21902271.596774,7351413.188844,0.007133,0.090323
"HBARUSDT",627,"Sample",34,0,0,0.062789,0.000103,0.103159,0.001496,-0.218419,0.020974,6259921.525735,3789034.125,0.005804,0.04395
"KAVAUSDT",642,"Sample",36,0,0,0.132449,0.00018,0.032665,-0.001489,-0.066968,0.047372,1233657.36667,579915.594489,0.006325,0.049496
"ARPAUSDT",648,"Sample",37,0,0,0.172794,0.000234,0.012853,-0.002086,-0.124857,0.03527,2280783.074524,1095228.831317,0.006642,0.083945
"IOTXUSDT",651,"Sample",38,0,0,0.290541,0.000541,0.019923,0.000699,0.497345,0.084406,37657773.896162,9091996.168011,0.008686,0.093235
"RLCUSDT",652,"Sample",39,0,0,0.086244,0.000143,0.058736,-0.005222,-0.02589,0.046947,62546.32334,29591.151344,0.007226,0.073023
"EURUSDT",694,"Sample",41,0,0,0.007107,0.00001,0.091589,0.000344,-0.108678,0.003451,720278.386533,411292.197043,0.000422,0.004316
"OGNUSDT",697,"Sample",42,0,0,0.225033,0.000301,0.012771,-0.010753,0.120547,0.051054,4836504.790039,1586836.564516,0.006727,0.07511
"LSKUSDT",718,"Sample",43,0,0,0.387978,0.000558,0.0631,-0.011673,0.133044,0.034417,628601.001617,185356.077151,0.013666,0.077465
"MBLUSDT",749,"Sample",44,0,0,-0.010574,0.00003,0.016886,0.010802,0.157789,0.242236,52332899.930362,25200573.896505,0.00685,0.242236
"COTIUSDT",752,"Sample",45,0,0,-0.187037,0.000096,0.028418,-0.003028,0.422079,0.082118,21466641.331562,14689779.401882,0.01829,0.188724
"CTSIUSDT",786,"Sample",47,0,0,0.16182,0.000317,0.061175,0,0.294244,0.040709,3976730.010254,1171999.239247,0.009397,0.071513
"HIVEUSDT",791,"Sample",48,0,0,0.016432,0.000042,0.02,0.009324,-0.075751,0.042453,330279.231349,179974.725806,0.005479,0.053364
