strengthDefinition,target,quintile,signalCount,reachedCount,hitRatePct,strengthMin,strengthMedian,strengthMax,timeMeanMinutes,timeMedianMinutes,timeP75Minutes,timeP80Minutes,timeP90Minutes,deadline60mHitRatePct,deadline120mHitRatePct,deadline360mHitRatePct,deadline720mHitRatePct,deadline1440mHitRatePct,deadline2160mHitRatePct,deadline2880mHitRatePct
normalisedAcceleration,1pct,1,23151,14497,62.619325299123155,4.137805153376911e-9,0.000005864710435310489,0.000012931942566323862,916.6149548182383,692,1479,1710.800000000001,2181.3999999999996,4.444732408967216,8.725325039955077,21.567102932918665,32.08068765928038,46.460196103840005,56.03213684074122,62.619325299123155
normalisedAcceleration,2pct,1,23151,9672,41.777892963586886,4.137805153376911e-9,0.000005864710435310489,0.000012931942566323862,1188.1851736972706,1028,1894,2087.8,2440,0.9330050537773746,2.2763595525031315,8.68644982938102,15.843808042849123,26.067988423826183,34.15835169107166,41.777892963586886
normalisedAcceleration,4pct,1,23151,5209,22.500107986696037,4.137805153376911e-9,0.000005864710435310489,0.000012931942566323862,1368.3914378959494,1307,2032,2170,2510,0.12526456740529565,0.4492246555224396,2.583041769254028,5.883115200207334,12.185218781046176,17.91715260679884,22.500107986696037
normalisedAcceleration,1pct,2,23151,16682,72.05736253293594,0.000012932271134746583,0.000021693686389122247,0.000032604333349489385,662.7308476201895,374,995,1196,1827,8.902423221459117,16.059781434927217,35.35484428318431,48.114552287158226,60.977927519329626,68.02297956891711,72.05736253293594
normalisedAcceleration,2pct,2,23151,12461,53.82488877370308,0.000012932271134746583,0.000021693686389122247,0.000032604333349489385,1015.3122542332076,796,1615,1810,2294,1.762342879357263,4.392898794868472,15.057664895684852,25.42870718327502,37.89901084186428,46.892142887996194,53.82488877370308
normalisedAcceleration,4pct,2,23151,7637,32.98777590600838,0.000012932271134746583,0.000021693686389122247,0.000032604333349489385,1286.539609794422,1198,1937,2122,2473,0.23325126344434366,0.9761997321929939,4.7039004794609305,10.159388363353635,19.42464688350395,26.672713921644853,32.98777590600838
normalisedAcceleration,1pct,3,23150,18115,78.25053995680345,0.000032607319791658515,0.000046594114536528775,0.00006595302259323066,537.5903947005244,259,697,921.2000000000007,1588.6000000000004,14.000000000000002,23.706263498920084,45.81857451403888,59.3218142548596,69.33477321814256,74.84665226781857,78.25053995680345
normalisedAcceleration,2pct,3,23150,14139,61.0755939524838,0.000032607319791658515,0.000046594114536528775,0.00006595302259323066,884.3097107291887,593,1391,1631,2172,2.8034557235421165,6.859611231101511,21.533477321814253,34.038876889848815,46.59611231101512,54.74298056155508,61.0755939524838
normalisedAcceleration,4pct,3,23150,9234,39.88768898488121,0.000032607319791658515,0.000046594114536528775,0.00006595302259323066,1173.4923110244747,1017,1787,1972.4000000000005,2436.7000000000007,0.38876889848812096,1.4038876889848813,7.019438444924406,14.794816414686826,26.00863930885529,33.50755939524838,39.88768898488121
normalisedAcceleration,1pct,4,23151,19113,82.55798885577296,0.00006595408789408405,0.00009283158975418118,0.0001345039103328229,413.89729503479305,165,470,610,1262,21.813312599887695,34.59893741091097,57.58714526370351,68.76160856982419,75.77642434452075,79.57755604509525,82.55798885577296
normalisedAcceleration,2pct,4,23151,15486,66.89127899442788,0.00006595408789408405,0.00009283158975418118,0.0001345039103328229,751.3485083301047,454,1113,1354,2027,4.738456222193426,10.669085568657941,28.724461146386766,42.83616258476955,54.73629648827264,61.44011057837674,66.89127899442788
normalisedAcceleration,4pct,4,23151,10711,46.26582005096972,0.00006595408789408405,0.00009283158975418118,0.0001345039103328229,1088.8847913360098,881,1656,1874,2317,0.7256705973824025,2.302276359552503,9.645371690207766,19.247548701999914,31.90358947777634,40.00259168070494,46.26582005096972
normalisedAcceleration,1pct,5,23150,20418,88.19870410367172,0.0001345129841423444,0.00021917356715590782,0.011323941511089645,283.38588500342837,78,272,373,783.2999999999993,39.295896328293736,51.84881209503239,70.06479481641469,78.69978401727862,83.67602591792657,86.12958963282938,88.19870410367172
normalisedAcceleration,2pct,5,23150,17353,74.95896328293736,0.0001345129841423444,0.00021917356715590782,0.011323941511089645,554.3079006511842,277,711,902,1607.800000000001,13.261339092872571,22.38876889848812,42.406047516198704,56.53131749460043,66.36717062634989,70.96328293736501,74.95896328293736
normalisedAcceleration,4pct,5,23150,12988,56.103671706263505,0.0001345129841423444,0.00021917356715590782,0.011323941511089645,880.6919464120726,661,1315,1509.6000000000004,2125,2.539956803455724,5.956803455723542,17.511879049676025,30.21598272138229,43.78401727861771,50.95032397408207,56.103671706263505
