feature,correlationWithMarketNetProfit
forward2880Return,0.14127067148489214
mfe2880,0.13033547885012567
slope20,-0.10211409599607871
acceleration,0.09736370685844664
forward1440Return,0.09279198345516561
mfe1440,0.09262586307804166
forward720Return,0.06804665109631851
mae2880,0.05682023687274922
mfe360,0.05565657094104744
efficiency50,-0.05430096562530527
reversalRate50,0.044303177508199995
volatility50,0.04377565841736017
mfe60,0.04368709395967949
volatility20,0.03996569780538477
reversalRate20,0.0395376741422961
mae1440,0.03746509723832627
forward360Return,0.03487305616067403
mae60,-0.028289493965666133
forward120Return,0.026046411463737672
efficiency20,-0.017079908744696944
forward60Return,0.015004040337688221
trendPersistence50,0.011533490466392184
forward30Return,0.009980898954739663
normalisedAcceleration,-0.005784935762170306
return50,0.00554886147330289
return20,0.00538912220052513
mae360,-0.004321478510400943
forward15Return,0.003968572124652924
normalisedSlope20,0.0033539886168379475
trendPersistence20,0.0029845348528578504
forward5Return,0.0025490478674378954
return5,0.0012097966348164344
