marketClass,markets,marketsWithSignals,totalStrategySignals,totalAcceptedSignals,meanMarketNetProfit,medianMarketNetProfit,totalMarketNetProfit,meanMarketReturnPct,medianMarketReturnPct,meanSignalsPerDay,meanAcceptanceRate,meanSlope20,meanAcceleration,meanNormalisedSlope20,meanNormalisedAcceleration,meanReturn5,meanReturn20,meanReturn50,meanVolatility20,meanVolatility50,meanEfficiency20,meanEfficiency50,meanTrendPersistence20,meanTrendPersistence50,meanReversalRate20,meanReversalRate50,meanForward5Return,meanForward15Return,meanForward30Return,meanForward60Return,meanForward120Return,meanForward360Return,meanForward720Return,meanForward1440Return,meanForward2880Return,meanMfe60,meanMfe360,meanMfe1440,meanMfe2880,meanMae60,meanMae360,meanMae1440,meanMae2880,target1Rate,target2Rate,target4Rate,stopRate,reached1ThenFailed2Rate,reached2ThenFailed4Rate
positive,27,27,62440,1129,2.978481854624738,1.2586000000000033,80.41901007486793,0.008891151196268633,0.0070478619430721515,77.08820420225774,0.03259116139730332,-0.11420316976531122,0.1058832388871599,-0.0003429898897583013,0.00034520498768767443,-0.000007358893176391503,-0.007541760628174647,-0.023594257074094998,0.0024675310972807293,0.0026758571573305833,0.211812597785146,0.2513425607357216,0.3598287458985383,0.3443965563386885,0.3703725231312839,0.35371014481417523,0.0008541303743994722,0.00213476318648713,0.0015474590840081279,0.0021743166069305153,0.0006786546480876227,-0.0012595972968250132,-0.0012353833768074024,0.0009082618103146361,0.007669912292672861,0.013864401581289336,0.02805135512826707,0.05441005397555902,0.07610696357063224,-0.009863407368777851,-0.024760120499451938,-0.039694430873296854,-0.049143996481706316,0.8576067238772632,0.717073169697224,0.5275768591810075,0.06393110543562804,0.14053355418003902,0.1894963105162166
flat,77,23,2429,0,0,0,0,0,0,3.5203713451498984,0,-0.00027399282786096557,0.00029234546917555817,-0.0010198229077343483,0.0010045879290766584,0.0027836579588978554,-0.028609934150789423,-0.06804913514249279,0.008126859142568707,0.008165085450283634,0.27203494205171397,0.32115359574307784,0.41482798315999897,0.4009160820397457,0.4103236505195539,0.40874177169763476,-0.00037760551037236014,0.00027239789051717884,0.003601328027677386,0.004743138957026326,0.0065042761697206965,-0.011651795012690178,-0.010228019580088054,-0.034599762114146095,-0.02984668665265152,0.021022213914748872,0.03535727818602472,0.05171993665467345,0.06668648888042006,-0.01779532831894278,-0.04219539670105539,-0.0766400824957053,-0.09513419771035478,0.8528912207835265,0.7628365645704973,0.5082215711831617,0.210743951261822,0.09005465621302922,0.2546149933873356
negative,16,16,50877,757,-1.3616890695492407,-0.8105772112312792,-21.787025112787852,-0.004244818349170381,-0.0024532621731425696,106.01078728674275,0.013258385499849265,-0.027380341102501572,0.025932588658015454,-0.00011127188102788116,0.00011211216003261269,-0.000028447991810338787,-0.002484186676061306,-0.008646990371732978,0.0010103750611781977,0.0011088071917286526,0.20260488230374707,0.23097318014131146,0.3537665658796063,0.3416809449830328,0.3585548341461029,0.3444107936266628,0.00007468756885641938,0.00029638759609206726,0.0005129770769121252,0.0006398221059701667,0.0007261719327649775,0.0018230591748924193,0.004358483207568996,0.006884401135500371,0.012010059975076407,0.006139013260276072,0.015414198703739822,0.03594724859440285,0.05404500857924787,-0.005797295965636746,-0.013244348084828545,-0.024720972811096087,-0.03251822921199153,0.7341075981939397,0.5623505968910943,0.3658726267125025,0.050760627248474355,0.17175700130284563,0.19647797017859162
