symbol,datasetGroup,apiPosition,historicalBinanceArrayPosition,profitClass,netProfit,grossProfit,fees,returnPct,signals,accepted,buys,sells,winningPositions,losingPositions,flatPositions,winRate,priceMin,priceMax,priceTick,lotMin,lotMax,lotStep,marketLotMin,marketLotMax,marketLotStep,percentBidUp,percentBidDown,percentAskUp,percentAskDown,percentAvgPriceMins,minNotional,maxNotional,baseAssetPrecision,quotePrecision,quoteAssetPrecision,structuralFingerprint,cohortCatalogueCount,cohortStrategyCount,cohortPositiveRate,cohortFlatRate,cohortNegativeRate,cohortTotalNetProfit,cohortMeanNetProfit,cohortMedianNetProfit,cohortPositiveNetProfit,cohortNegativeNetProfit
INJUSDT,OutOfSample,1113,1113,positive,2.111644872167153,2.694339211378523,0.5826943392113787,0.007281534041955699,2617,29,29,82,20,9,0,0.6896551724137931,0.001,10000,0.001,0.01,90000,0.01,0,27482.746625,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,5.120980852199235,-0.6445915026535254
MORPHOUSDT,OutOfSample,3322,3322,positive,2.0610158762057993,2.343359235441237,0.2823433592354412,0.014721541972898567,1420,14,14,42,13,1,0,0.9285714285714286,0.001,1000,0.001,0.01,92141578,0.01,0,127949.58345833,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,37,5,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,2.5018488148906846,-0.7951502031049242
LINKUSDT,Sample,431,431,positive,1.6724414212861214,2.695136557843952,1.0226951365578454,0.003279296904482591,3041,51,51,139,35,16,0,0.6862745098039216,0.001,10000,0.001,0.01,90000,0.01,0,25266.21833333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,5.120980852199235,-0.6445915026535254
ONGUSDT,Sample,464,464,positive,1.2586000000000033,1.4000000000000017,0.14139999999999997,0.017980000000000048,63,7,7,21,7,0,0,1,0.00001,1000,0.00001,1,900000,1,0,169284.525,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.00001|priceMax=1000|priceTick=0.00001|lotMin=1|lotMax=900000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,6,2,0.5,0.5,0,1.2586000000000033,0.6293000000000016,0.6293000000000016,1.2586000000000033,0
MSTRBUSDT,OutOfSample,3605,3605,positive,1.2046467261945655,1.9666133395340886,0.7619666133395345,0.003170122963669909,4199,38,38,101,28,10,0,0.7368421052631579,0.01,100000,0.01,0.001,922327,0.001,0,2690.66514583,0,1.1,0.8,1.2,0.9,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=922327|lotStep=0.001|bidUp=1.1|bidDown=0.8|askUp=1.2|askDown=0.9|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,45,5,0.2,0,0.8,-8.391816402074612,-1.6783632804149224,-1.058746592083142,1.2046467261945655,-9.596463128269178
ZENUSDT,Sample,842,842,positive,1.0768324804883163,1.6785109914797895,0.6016785109914803,0.003589441601627721,2736,30,30,83,23,7,0,0.7666666666666667,0.001,100000,0.001,0.01,900000,0.01,0,8680.394625,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=100000|priceTick=0.001|lotMin=0.01|lotMax=900000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,4,1,1,0,0,1.0768324804883163,1.0768324804883163,1.0768324804883163,1.0768324804883163,0
CRCLBUSDT,OutOfSample,3592,3592,positive,0.9445948222780676,1.946541363641694,1.0019465413636426,0.0018891896445561351,4352,50,50,127,36,14,0,0.72,0.01,10000,0.01,0.01,9222449,0.01,0,3769.94733333,0,1.1,0.8,1.2,0.9,5,5,9000000,8,8,8,priceMin=0.01|priceMax=10000|priceTick=0.01|lotMin=0.01|lotMax=9222449|lotStep=0.01|bidUp=1.1|bidDown=0.8|askUp=1.2|askDown=0.9|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,25,1,1,0,0,0.9445948222780676,0.9445948222780676,0.9445948222780676,0.9445948222780676,0
ATOMUSDT,Sample,502,502,positive,0.928753739074089,1.0898435826567439,0.1610898435826567,0.011609421738426112,449,8,8,22,7,1,0,0.875,0.001,10000,0.001,0.01,90000,0.01,0,50498.7915,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,5.120980852199235,-0.6445915026535254
ZROUSDT,OutOfSample,2670,2670,positive,0.3595999999999995,0.399999999999999,0.0404,0.017979999999999975,656,2,2,6,2,0,0,1,0.001,1000,0.001,0.01,92141578,0.01,0,101277.79366666,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,37,5,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,2.5018488148906846,-0.7951502031049242
NEOUSDT,Sample,141,141,positive,0.2854040668351565,0.3857898566918463,0.10038578985669183,0.00570808133670313,745,5,5,15,4,1,0,0.8,0.001,10000,0.001,0.01,90000,0.01,0,5739.0735,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,5.120980852199235,-0.6445915026535254
