symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,candleCount,coveragePct,totalReturn,meanHourlyReturn,medianHourlyReturn,hourlyVolatility,positiveHourRate,negativeHourRate,maxHourlyGain,maxHourlyLoss,maxPositiveRun,maxNegativeRun,reversalRate,autocorrelation1h,meanVolume,volumeVolatility,volumeReturnCorrelation,volumeRangeCorrelation,return6h,return12h,return24h,return72h,return168h,volatility6h,volatility12h,volatility24h,volatility72h,volatility168h,range24h,efficiency24h,trendSlope24h,range72h,efficiency72h,trendSlope72h,range168h,efficiency168h,trendSlope168h
"LINKUSDT",431,"Sample",11,1.67244142,0.0032793,744,100,0.38396676,0.00046189,0.00017324,0.00700037,0.50740242,0.4858681,0.05147595,-0.05492137,11,7,0.51912568,0.03293074,103073.05837366,131369.79369755,0.09039618,0.87346846,-0.00561946,0.00693518,0.01624192,-0.00944634,-0.02614154,0.00272869,0.00528859,0.00536244,0.00564284,0.00625446,0.04361426,0.16060337,0.0010119,0.07065407,0.03490627,-0.00009215,0.09094008,0.03453761,-0.00013066
"ONGUSDT",464,"Sample",12,1.2586,0.01798,744,100,1.09281015,0.00199624,0,0.04858909,0.48317631,0.49663526,0.80807336,-0.33073506,7,13,0.52668539,0.05528203,3658187.12231183,7682167.4764283,0.36275608,0.77022215,-0.02666375,-0.06054214,-0.14331057,-0.24420874,0.08688225,0.0103271,0.01152506,0.02083921,0.0219369,0.06163999,0.19815797,0.44187426,-0.00385027,0.40736664,0.22664987,-0.00470268,2.08970332,0.01079933,-0.00079635
"MSTRBUSDT",3605,"OutOfSample",43,1.20464673,0.00317012,744,100,0.40349755,0.00048905,0.00008362,0.00812476,0.50067295,0.49125168,0.05965851,-0.03643603,8,8,0.51917808,0.12451822,1761.25140323,4897.04577894,0.17420002,0.67933943,0.00091255,0.01605682,0.03409805,0.02908522,0.07322244,0.00484962,0.00762299,0.00658094,0.00546403,0.00896842,0.06008449,0.24547511,0.00195795,0.06538251,0.10287611,0.00036858,0.19466135,0.07324633,0.00026797
"ZENUSDT",842,"Sample",53,1.07683248,0.00358944,744,100,0.44433069,0.00055254,0.00038715,0.01071891,0.52355316,0.4589502,0.07479675,-0.0980359,9,6,0.55090656,0.0083008,19719.54266129,34951.43707838,0.02616343,0.90005725,-0.02217986,0.01767358,0.07526677,0.13770161,0.04384018,0.00875884,0.01295345,0.01897406,0.0155266,0.01226227,0.13751841,0.22379603,0.00491252,0.19496982,0.19342962,0.00217037,0.18982244,0.0330867,0.00010507
"CRCLBUSDT",3592,"OutOfSample",25,0.94459482,0.00188919,744,100,0.54120701,0.00062305,0.00034122,0.0090396,0.52624495,0.4602961,0.0480239,-0.0485248,12,7,0.5,0.06074529,5543.38466398,9142.42231786,0.15655096,0.85132401,0.02051778,0.08274447,0.08645929,0.09396591,0.08323831,0.00713004,0.00986704,0.0082837,0.00617121,0.00922352,0.12367816,0.52941176,0.00523573,0.1233662,0.31578947,0.00067302,0.13626548,0.08688408,-0.00012063
"ATOMUSDT",502,"Sample",20,0.92875374,0.01160942,744,100,0.19512195,0.00026279,0,0.00676127,0.47106326,0.47375505,0.04645477,-0.05724299,8,6,0.50676692,-0.04785451,56927.53509409,64822.18205303,0.0654191,0.83358669,-0.00067981,0.00341297,0.00823045,-0.00809717,-0.03479974,0.00264254,0.00394053,0.00540268,0.00507031,0.00661584,0.03077975,0.08219178,0.0001249,0.05443548,0.02884615,-0.00035868,0.09430255,0.04257028,-0.00028009
"ZROUSDT",2670,"OutOfSample",53,0.3596,0.01798,744,100,0.38918919,0.00052015,0,0.01251697,0.48048452,0.44683715,0.10849057,-0.05009276,9,6,0.51326053,0.03823656,206098.00189516,423026.71088068,0.29303192,0.78541145,-0.01626794,-0.03474178,-0.0029098,-0.05860806,-0.05601469,0.00386325,0.01085217,0.01119917,0.00997976,0.01690846,0.08131655,0.01477833,0.0007938,0.10604651,0.1122807,-0.00062186,0.30297565,0.02822767,-0.00082576
"NEOUSDT",141,"Sample",2,0.28540407,0.00570808,744,100,0.09378349,0.00014571,0,0.00707606,0.47106326,0.47779273,0.03539356,-0.05374449,8,7,0.58146487,-0.1295482,10537.31872312,19780.30816757,0.03401757,0.784621,0.00344149,0.00839921,0.01390959,-0.03224277,-0.06846189,0.0033909,0.00485633,0.00504619,0.00567851,0.00783907,0.03583702,0.13861386,0.00003308,0.08151659,0.10240964,-0.00063558,0.16410488,0.0695088,-0.00057484
"CRVUSDT",939,"Sample",59,0.1798,0.01798,744,100,0.62608277,0.00071191,0.00037397,0.01071379,0.50605653,0.47779273,0.06736475,-0.08244451,8,6,0.51392758,-0.08779988,665780.84556452,1138643.47104145,0.16180854,0.7914683,0.07680051,0.09352751,0.14426007,0.10605565,-0.00236197,0.01457798,0.01530072,0.01279758,0.00977323,0.00960157,0.15239669,0.56498674,0.0052286,0.16417425,0.22437673,0.0006671,0.15838966,0.0021978,-0.00037611
"QTUMUSDT",279,"Sample",4,0.1798,0.01798,744,100,0.27639752,0.00035219,0,0.00688942,0.4333782,0.4333782,0.04265403,-0.04580153,8,6,0.56483126,-0.07922218,15206.9875,42470.45262989,0.14260606,0.75370868,0.01107011,0.00121803,0.03266332,0.00611995,-0.05949657,0.00323363,0.00470925,0.00553538,0.00570331,0.00733913,0.04444444,0.31707317,0.00014493,0.08424908,0.02057613,-0.00020851,0.15891033,0.07065217,-0.00044884
"STXUSDT",639,"Sample",35,0.1798,0.01798,744,100,0.82498184,0.00088071,0,0.01193274,0.48048452,0.4602961,0.06916667,-0.05290774,8,6,0.53927492,-0.02228987,398965.9016129,656887.77668652,0.14591329,0.83778183,0.0068109,0.02279202,0.07301452,-0.03420446,0.08834994,0.00559793,0.01195712,0.01329996,0.01157951,0.0157418,0.09057072,0.2718601,0.00172978,0.11207236,0.05531386,0.00000776,0.24916107,0.04096386,-0.00063653
"METUSDT",3391,"OutOfSample",30,0.1798,0.01798,744,100,0.09715243,0.00019286,-0.00048309,0.01170153,0.46164199,0.50336474,0.088,-0.05943475,10,7,0.50289855,-0.00893793,193760.5844086,496925.68512289,0.22075694,0.63579024,0.02879581,0.01236476,0.05024051,-0.05980861,-0.13245033,0.0127383,0.01154619,0.0122786,0.01103924,0.01224929,0.09612321,0.19831224,0.00244868,0.14367816,0.10513036,-0.00120172,0.24601175,0.09475679,-0.00072437
"AVAXUSDT",1052,"OutOfSample",17,0.12273675,0.00111579,744,100,0.13227927,0.00019087,0,0.00686905,0.49798116,0.487214,0.04268763,-0.0657767,8,7,0.51944444,0.01482095,87808.91439516,110710.02038108,-0.05859515,0.87052576,0.00013827,0.00500208,0.01687052,-0.01026273,-0.04122481,0.00176905,0.00404397,0.00410025,0.00479747,0.00542311,0.02572707,0.2247191,0.00055442,0.06302233,0.04559271,-0.00021241,0.09484455,0.06570885,-0.00020759
"APTUSDT",2108,"OutOfSample",36,0.05521301,0.0055213,744,100,-0.03590664,-0.00002028,0,0.0075809,0.43606999,0.43068641,0.03505843,-0.07365439,10,6,0.54414414,-0.06757733,300564.45711021,370333.24769463,-0.19598357,0.86026934,0.02676864,0.03269231,0.03667954,-0.00371058,-0.11677632,0.00654621,0.00609697,0.00564915,0.00694936,0.00747264,0.04423077,0.31147541,0.00080769,0.07578558,0.01041667,-0.00051545,0.18760196,0.13733075,-0.00072222
"ASTERUSDT",3327,"OutOfSample",26,0.02601992,0.00260199,744,100,0.16805324,0.00023682,0,0.00742408,0.39165545,0.37685061,0.05309735,-0.08367072,7,6,0.58681319,0.0123915,445520.06080645,907060.9712961,-0.23003372,0.88031413,0.00142653,0.01007194,0.02932551,0.00862069,0.00429185,0.00173126,0.00307032,0.00594346,0.00557449,0.00748542,0.03735632,0.28571429,0.0005466,0.05652174,0.03296703,0.00003122,0.09375,0.00473934,-0.00005042
"ADAUSDT",296,"Sample",5,0,0,744,100,0.1704142,0.0002539,0,0.00916564,0.47240915,0.48452221,0.05398346,-0.08461236,7,6,0.55670103,-0.07683377,5651557.69247312,7047027.13037209,-0.0590925,0.92051514,0.00050582,0.00661578,0.02646601,-0.02609552,-0.10699774,0.00581415,0.00701881,0.00634211,0.00652519,0.00744915,0.04791345,0.20318725,0.00127299,0.08238777,0.07851852,-0.00039007,0.17539964,0.1276252,-0.00061222
"IOTAUSDT",333,"Sample",7,0,0,744,100,0.24223602,0.00032976,0,0.00869346,0.40242261,0.41049798,0.05263158,-0.05725971,6,6,0.55284553,-0.07186713,595802.65994624,820873.79466106,0.05598637,0.7546571,0,0.00250627,0.0178117,0.00502513,-0.11308204,0.00575029,0.00639932,0.00658225,0.00722568,0.00931836,0.04040404,0.1372549,0.00070158,0.10552764,0.01282051,0.00057748,0.2,0.10782241,-0.00077884
"XLMUSDT",334,"Sample",8,0,0,744,100,0.03081395,0.00006694,0,0.00720775,0.46567968,0.47644684,0.03176471,-0.06420765,8,6,0.52431611,-0.0318951,2888650.65591398,4466079.87960269,-0.19269306,0.92670741,-0.00783436,0.00453258,0.01546392,-0.01225627,-0.08513932,0.00255773,0.00536644,0.00527843,0.00537515,0.00636746,0.03644647,0.15083799,0.0008656,0.05642458,0.04330709,-0.00013981,0.14169629,0.11293634,-0.00044693
"TRXUSDT",350,"Sample",9,0,0,744,100,0.0183711,0.00002592,0,0.00168356,0.44818304,0.44952894,0.00873494,-0.01086646,7,9,0.46901173,0.00405717,3631720.84422043,3677176.22024427,-0.05073685,0.9274756,-0.00269865,-0.00538278,-0.01041357,-0.02549077,-0.03566251,0.00086142,0.00233035,0.00217393,0.00181918,0.00187041,0.01607621,0.30434783,-0.00058014,0.03052539,0.27795527,-0.00028869,0.04308849,0.15279503,-0.00005277
"USDCUSDT",422,"OutOfSample",0,0,0,744,100,-0.00060948,-8.2e-7,0,0.00005021,0.45087483,0.45625841,0.00023992,-0.00024988,6,8,0.56045752,0.00072651,79000209.27016129,64065601.55855601,-0.05153223,0.65192289,0.00006999,-0.00006998,0.00020999,0.00014999,0.00013999,0.00003715,0.00003706,0.00004621,0.00003427,0.00004456,0.00038997,0.24705882,0.00000556,0.00048998,0.0802139,0.00000378,0.00068994,0.02464789,-1e-7
"ZILUSDT",467,"Sample",13,0,0,744,100,-0.0259887,-0.00001015,-0.00035323,0.00710853,0.46298789,0.50067295,0.02474227,-0.03655265,8,8,0.5173913,-0.07864344,4620932.90349462,7063408.56956794,-0.12617511,0.65701376,0.00038685,-0.00995406,0.02456418,-0.00423566,-0.0558598,0.00261287,0.00410867,0.00625294,0.00599525,0.00756697,0.06484375,0.19375,-0.00002123,0.0808739,0.013269,0.00023452,0.12758246,0.06181818,-0.0004675
"ZRXUSDT",469,"Sample",14,0,0,744,100,0.19298246,0.0002634,0,0.00720174,0.43741588,0.45222073,0.03527981,-0.03417969,9,6,0.53456998,-0.07639534,56993.74731183,80256.61763014,0.06834908,0.79384387,-0.01039501,-0.01244813,0.01492537,-0.02757916,-0.02358974,0.00321798,0.00494348,0.00623218,0.00610217,0.00777208,0.0408805,0.12727273,0.00018913,0.07142857,0.08910891,-0.00014679,0.10233029,0.02497286,-0.0001486
"FETUSDT",472,"OutOfSample",37,0,0,744,100,0.09019886,0.00016167,0,0.0095266,0.48990579,0.46433378,0.06860158,-0.0819582,9,11,0.50516987,-0.05970233,2599030.60913978,2654543.96250348,-0.11473378,0.84719467,0.02129075,0.01790451,0.03506406,0.02333333,-0.11629246,0.00501861,0.00672018,0.00826408,0.00913298,0.00977416,0.046,0.22222222,0.00104464,0.10360963,0.04551365,0.00040092,0.19805936,0.1012024,-0.00080979
"IOSTUSDT",481,"OutOfSample",48,0,0,744,100,-0.05065359,-0.00004598,0,0.0069068,0.41049798,0.43876178,0.03949447,-0.06716418,4,6,0.57509158,-0.04573468,14596402.93682796,37578315.09058286,-0.03233206,0.74272636,0,-0.00683761,0.01573427,-0.02188552,-0.00853242,0.00262559,0.00581001,0.00569507,0.00542227,0.00631121,0.03460208,0.14285714,0.0001023,0.06711409,0.07514451,-0.00025585,0.09830508,0.01103753,0.00001709
"CELRUSDT",484,"Sample",16,0,0,744,100,0.45888261,0.00055126,-0.00040733,0.00927198,0.47375505,0.50067295,0.05283505,-0.04129417,8,6,0.546875,-0.0368602,7514119.12446236,5247949.1763549,0.08434095,0.66856679,-0.01400085,-0.0148368,-0.00471092,-0.00895522,-0.00853242,0.00350237,0.0057218,0.00692984,0.00794783,0.00868739,0.03661132,0.03151862,-0.00068595,0.10140605,0.02017291,-0.00029029,0.13518124,0.00807754,0.00018267
"THETAUSDT",494,"Sample",18,0,0,744,100,0.33887569,0.00042371,0,0.00786985,0.47644684,0.46971736,0.04445664,-0.03507905,9,6,0.54887218,-0.02264092,140653.85295699,185210.51299633,0.16052743,0.72997146,0.00654762,0.0029656,0.015006,-0.02816092,-0.0829718,0.00462795,0.0063711,0.00927069,0.00757299,0.00849718,0.04623592,0.0877193,-0.00023659,0.06755196,0.07324365,-0.00034096,0.15993538,0.0816,-0.00045569
"ENJUSDT",495,"Sample",19,0,0,744,100,-0.02815226,-0.00001289,-0.00039952,0.00715278,0.45087483,0.5141319,0.04385965,-0.04843696,8,6,0.52098408,-0.10018593,705580.41586022,1006440.32345034,0.03778116,0.69248606,0.00615764,0.00905723,0.0250941,-0.03007519,-0.11099021,0.00266763,0.00533849,0.00520644,0.00562962,0.00730459,0.0330442,0.25862069,0.00047573,0.08435644,0.10644258,-0.00060418,0.16648765,0.13043478,-0.00064095
"TFUELUSDT",519,"Sample",21,0,0,744,100,0.23129252,0.00030105,0,0.00647224,0.46971736,0.41184388,0.02810304,-0.03551609,7,6,0.54246101,-0.09296641,608621.40322581,1260683.137298,-0.06903281,0.86415957,0.00891862,0.02259887,0.02375566,-0.03415155,0.04866744,0.0031867,0.00493976,0.0085149,0.00730347,0.00743031,0.07286996,0.15555556,0.00121515,0.08501594,0.09638554,-0.00052503,0.17425968,0.05060241,0.0001762
"ONEUSDT",525,"Sample",22,0,0,744,100,-0.36639344,-0.00037701,0,0.02138248,0.3781965,0.36877524,0.22916667,-0.24576271,8,7,0.61503417,-0.1035384,55048586.94287636,189221271.93740243,-0.27078056,0.90759988,0.00651042,0.00782269,0.04742547,-0.00129199,0.02113606,0.00347796,0.00497019,0.00579148,0.0059407,0.007694,0.05466667,0.40229885,0.0007687,0.07979408,0.004329,-0.00011025,0.09498681,0.02203857,0.00020151
"ALGOUSDT",541,"Sample",23,0,0,744,100,0.08491762,0.00013738,0,0.00742191,0.47644684,0.42664872,0.03680982,-0.07190796,8,5,0.53706755,-0.06472104,889881.99193548,1005184.48887335,-0.1597241,0.79456886,-0.00116686,0.003517,0.01182033,-0.01722158,-0.06753813,0.00332209,0.00538018,0.0053015,0.00601479,0.00670976,0.03399766,0.10869565,0.00059891,0.06077982,0.05454545,-0.0002921,0.12567132,0.08010336,-0.0004558
