symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,candleCount,coveragePct,totalReturn,meanHourlyReturn,medianHourlyReturn,hourlyVolatility,positiveHourRate,negativeHourRate,maxHourlyGain,maxHourlyLoss,maxPositiveRun,maxNegativeRun,reversalRate,autocorrelation1h,meanVolume,volumeVolatility,volumeReturnCorrelation,volumeRangeCorrelation,return6h,return12h,return24h,return72h,return168h,volatility6h,volatility12h,volatility24h,volatility72h,volatility168h,range24h,efficiency24h,trendSlope24h,range72h,efficiency72h,trendSlope72h,range168h,efficiency168h,trendSlope168h
"KAVAUSDT",642,"Sample",36,0,0,744,100,0.13244873,0.00018047,0,0.00510035,0.487214,0.47913863,0.02336245,-0.04643766,7,6,0.58092486,-0.18655488,579915.59448925,1233657.36666972,-0.0669683,0.81044381,-0.00148904,0.00902837,0.03278328,0.00708003,0.02601093,0.00336738,0.00676915,0.00686428,0.00577981,0.00632474,0.04737184,0.24628099,0.0004771,0.04949646,0.02268041,0.00014036,0.06886813,0.03266539,0.0001697
"ARPAUSDT",648,"Sample",37,0,0,744,100,0.17279412,0.00023423,0,0.00626496,0.44683715,0.43068641,0.03666667,-0.04965243,5,6,0.55902778,-0.18630851,1095228.8313172,2280783.07452372,-0.1248571,0.6412256,-0.00208551,-0.00623053,0.01162791,0.00736842,0.01055966,0.00143542,0.00494761,0.00604038,0.00691572,0.00664236,0.03526971,0.11111111,-0.00076267,0.08394544,0.02017291,0.0000457,0.10890052,0.01285347,0.00018958
"IOTXUSDT",651,"Sample",38,0,0,744,100,0.29054054,0.00054126,0,0.0210451,0.43068641,0.42799462,0.41176471,-0.13402062,10,7,0.55675676,-0.03762232,9091996.16801075,37657773.89616218,0.4973452,0.85493404,0.00069857,-0.00313152,0.04409621,-0.00034892,0.02029915,0.0032973,0.00502546,0.01261565,0.00910738,0.00868595,0.08440629,0.22960152,-0.00043307,0.09323519,0.00087184,0.00009063,0.12360335,0.0199231,-0.0000214
"RLCUSDT",652,"Sample",39,0,0,744,100,0.08624376,0.00014332,0,0.00800075,0.49125168,0.48855989,0.04717682,-0.0489449,8,8,0.52314165,-0.11467006,29591.15134409,62546.32333984,-0.02589012,0.68946368,-0.00522193,-0.01167315,0.01262458,-0.0265091,-0.0492826,0.00302328,0.00384803,0.00496019,0.00605155,0.00722641,0.04694682,0.1292517,-0.00023595,0.07302296,0.08746048,-0.00029647,0.11251541,0.05873606,-0.00024095
"EURUSDT",694,"Sample",41,0,0,744,100,0.00710695,0.0000104,0,0.00130863,0.4051144,0.41318977,0.01018176,-0.03052614,7,9,0.50291262,0.12029462,411292.19704301,720278.38653329,-0.10867816,0.28096327,0.00034435,0.00172414,0.00276148,0.00284802,-0.00419916,0.00017686,0.00037784,0.00042732,0.00029464,0.00042203,0.00345095,0.4,0.00013616,0.00431555,0.21568627,0.00004275,0.0101114,0.09158879,-0.00005467
"OGNUSDT",697,"Sample",42,0,0,744,100,0.22503329,0.00030069,0,0.00741131,0.48048452,0.46164199,0.04192355,-0.05002552,8,7,0.53927492,-0.07738195,1586836.56451613,4836504.79003852,0.12054666,0.8368193,-0.01075269,0.00656455,0.03139013,0.00877193,0.01098901,0.00340839,0.00596508,0.00615505,0.00596459,0.00672654,0.05105438,0.26923077,0.0006237,0.07510965,0.02787456,-0.00011435,0.13500272,0.01277139,0.00000394
"LSKUSDT",718,"Sample",43,0,0,744,100,0.38797814,0.00055764,0,0.01516869,0.48855989,0.42530283,0.18395062,-0.18762677,7,6,0.53074434,-0.01661469,185356.07715054,628601.00161734,0.13304371,0.89430697,-0.01167315,-0.00098328,-0.01740812,0.01397206,0.0995671,0.00430405,0.00429435,0.00833724,0.00857431,0.01366635,0.03441683,0.12162162,-0.00033004,0.07746479,0.03030303,0.00007193,0.47793326,0.06310014,0.00073651
"MBLUSDT",749,"Sample",44,0,0,744,100,-0.01057402,0.00003046,0,0.00956129,0.41588156,0.43068641,0.10344828,-0.07142857,5,7,0.58441558,-0.1857194,25200573.89650538,52332899.93036167,0.1577889,0.94368402,0.01080247,0.00306279,0.02987421,0.01393189,-0.01355422,0.00533851,0.00695861,0.01191319,0.0078803,0.00684982,0.24223602,0.14503817,0.00054415,0.24223602,0.0376569,0.00007368,0.23467862,0.01688555,-0.00010284
"COTIUSDT",752,"Sample",45,0,0,744,100,-0.18703704,0.00009598,-0.00152091,0.02838329,0.43876178,0.5410498,0.371484,-0.13095238,7,12,0.53651685,-0.07911364,14689779.40188172,21466641.33156229,0.422079,0.92057928,-0.00302801,-0.01935964,0.01229823,0.04193038,0.05953339,0.0054587,0.01054055,0.0104745,0.02274235,0.01828967,0.08211819,0.06451613,-0.00079749,0.18872357,0.04156863,-0.00001552,0.28343949,0.02841782,0.00070976
"CTSIUSDT",786,"Sample",47,0,0,744,100,0.16181989,0.00031746,-0.00038095,0.01556911,0.46298789,0.50471063,0.21189979,-0.06144129,6,8,0.54178674,0.15177471,1171999.23924731,3976730.0102539,0.29424393,0.85945612,0,-0.00281804,0.01641362,-0.01745339,-0.05709935,0.00205132,0.00422462,0.00594042,0.005832,0.00939688,0.04070939,0.15503876,-0.00066032,0.07151324,0.05898123,-0.0003872,0.14867925,0.06117455,-0.00032741
"HIVEUSDT",791,"Sample",48,0,0,744,100,0.01643192,0.00004166,0,0.0062752,0.39703903,0.40376851,0.03597122,-0.04255319,6,5,0.59832636,-0.14392798,179974.72580645,330279.23134881,-0.07575107,0.78510771,0.00932401,0.00697674,0.03095238,0.00231481,0.01405152,0.00289813,0.00514926,0.00478705,0.00457789,0.00547883,0.04245283,0.30232558,0.00079061,0.05336427,0.00934579,0.00001354,0.07424594,0.02,0.00000758
"CHRUSDT",794,"Sample",49,0,0,744,100,0.17133956,0.00024476,0,0.00799077,0.46837147,0.49528937,0.04575597,-0.04184615,8,9,0.50506512,0.00374051,608067.63037634,832052.5390966,-0.03255919,0.74663289,0.0148448,0.00266667,0.03225806,0.0182803,-0.01182654,0.00467526,0.00647692,0.00847729,0.0078702,0.00829561,0.06644068,0.2034632,-0.00087605,0.07452575,0.04418985,0.00016593,0.11548387,0.01196809,-0.00013589
"KNCUSDT",812,"Sample",50,0,0,744,100,0.09990394,0.00014619,0,0.0059955,0.44952894,0.4333782,0.02487562,-0.04285714,7,6,0.56410256,-0.12970355,52834.70510753,126375.93248197,-0.05229672,0.72527279,0.00438596,-0.00348129,0.01059135,-0.02136752,-0.01122625,0.00338418,0.008342,0.00690562,0.00994338,0.00817478,0.03596491,0.09090909,0.0000881,0.13567839,0.04424779,-0.00119268,0.14688301,0.01168014,0.00014904
"SCUSDT",841,"Sample",52,0,0,744,100,0.17058824,0.00036925,0,0.01919832,0.38492598,0.38627187,0.42553191,-0.08493151,6,5,0.5619469,-0.1708635,29417544.96102151,127056820.89022323,0.35858898,0.9531149,-0.02131148,-0.0115894,0.00336134,-0.05687204,-0.08993902,0.00336242,0.00395951,0.00426677,0.00523606,0.0068478,0.04033613,0.04166667,0.00066715,0.09177215,0.20689655,-0.00063695,0.18618619,0.11153119,-0.00052442
"SNXUSDT",849,"Sample",54,0,0,744,100,-0.02769953,-0.00000969,0,0.00749527,0.37146703,0.40915209,0.04105839,-0.05440826,7,8,0.59012876,-0.07965668,113568.4608871,148056.76910379,-0.07973343,0.77328402,0.00778589,-0.00240848,0.01669121,-0.02632816,-0.10073817,0.00503173,0.00653094,0.00834459,0.00641272,0.00711081,0.05961538,0.10897436,-0.00002028,0.06958157,0.08069164,-0.00035584,0.15671962,0.12366738,-0.00081993
"VTHOUSDT",858,"Sample",55,0,0,744,100,0.19701493,0.00026487,0,0.00675692,0.37012113,0.34858681,0.03571429,-0.04534005,7,5,0.55137845,-0.00050584,20090599.02688172,37757792.55444715,-0.01299766,0.78967713,0,-0.00496278,0.0177665,0.00501253,0.06366048,0.00408379,0.00610775,0.00574442,0.00775627,0.00934513,0.04282116,0.15555556,-0.00031431,0.0691358,0.01219512,0.00001576,0.17195767,0.05263158,0.00048573
"MANAUSDT",902,"Sample",57,0,0,744,100,0.0881459,0.00013492,0,0.00650896,0.43472409,0.42395693,0.04755435,-0.05925926,7,6,0.57142857,-0.14171304,166363.55913978,319911.4749836,-0.01698998,0.80077815,-0.00693481,0.00987306,-0.00831025,-0.04021448,-0.04278075,0.00246278,0.00766762,0.00721551,0.0086906,0.00753934,0.04109589,0.06666667,-0.00012388,0.10512129,0.10344828,-0.00052538,0.10344828,0.04892966,-0.00013836
"DOTUSDT",954,"OutOfSample",27,0,0,744,100,0.10817942,0.00016156,0,0.00681736,0.45491252,0.44279946,0.0287687,-0.05392157,8,6,0.5166113,0.0020117,227741.06958333,283897.61197627,-0.18174513,0.85839162,0.00238663,0.01571947,0.02564103,-0.01060071,-0.06562848,0.00492053,0.00642652,0.00607344,0.00654023,0.0069331,0.03888214,0.20792079,0.00094247,0.07302709,0.03071672,-0.00021226,0.12761276,0.07919463,-0.00035473
"FILUSDT",1105,"OutOfSample",45,0,0,744,100,-0.04532102,-0.00003162,0.00030372,0.00781017,0.53028264,0.46164199,0.03596127,-0.07429978,8,7,0.51369863,0.05495301,337842.12423387,507515.66862477,-0.21516746,0.7928525,0.00619195,0.00634031,0.03409091,-0.00553694,-0.09470752,0.0030015,0.00614249,0.00573578,0.00558663,0.00653405,0.04153546,0.2866242,0.00088938,0.06806895,0.01989529,-0.00018369,0.16247862,0.12504378,-0.00055859
"ICPUSDT",1424,"OutOfSample",57,0,0,744,100,0.15480769,0.0002229,0,0.00760736,0.49125168,0.46971736,0.03650647,-0.08478988,7,8,0.53138686,-0.1143886,82984.96010753,104100.652891,-0.09957567,0.84560267,-0.00166251,0.00166806,0.02343417,0.00502092,-0.00743802,0.00321474,0.00529033,0.00683344,0.00712655,0.00677406,0.04079058,0.1641791,0.0004975,0.0923206,0.01226994,-0.00051001,0.09117162,0.00869565,0.00004498
"MINAUSDT",1563,"OutOfSample",54,0,0,744,100,0.63658537,0.00071653,0,0.01030713,0.42261104,0.39838493,0.05772812,-0.08401977,7,5,0.56840077,-0.19417073,557719.05443548,1456635.53733655,0.02403578,0.84673762,0.005997,0.06339144,0.04680187,0.10543657,0.12773109,0.00726523,0.01032465,0.00992452,0.01160574,0.01342353,0.09767442,0.23076923,0.00265319,0.12149533,0.17297297,0.00041683,0.21594684,0.0781893,0.0004682
"RAYUSDT",1566,"OutOfSample",13,0,0,744,100,0.31849768,0.00040472,0.00025381,0.00807479,0.51009421,0.47375505,0.07197809,-0.05302065,6,7,0.5097493,0.01286628,42606.9813172,72730.25260518,0.09574518,0.80622045,-0.00573924,0.01065314,0.03426347,-0.01459132,0.03911853,0.00415029,0.00926794,0.00757344,0.00860348,0.01105628,0.06449528,0.24535316,0.00206276,0.09119184,0.03480826,0.00020712,0.12881645,0.03028468,-0.00006165
"ARBUSDT",2167,"OutOfSample",18,0,0,744,100,0.39540816,0.00049094,0,0.00922743,0.46837147,0.42664872,0.07297605,-0.07472325,10,8,0.51081531,0.05487613,2453169.40645161,3989805.24443348,0.09637688,0.80330849,0.16259299,0.27209302,0.29774614,0.24601367,0.12783505,0.02001086,0.02451902,0.02041108,0.01498801,0.01187574,0.30516432,0.81758958,0.01071188,0.30248307,0.3956044,0.00098823,0.27291242,0.11191336,-0.0003848
"SUIUSDT",2202,"OutOfSample",8,0,0,744,100,0.06317637,0.00011857,0.00014516,0.00845806,0.50874832,0.47913863,0.05960033,-0.09931108,9,6,0.55248619,-0.10953083,1818951.7139785,2499710.63627308,-0.19994622,0.91682805,-0.00178498,0.00303532,0.02235972,-0.02258672,-0.09113639,0.00262877,0.00605574,0.00640336,0.00695662,0.00795794,0.04015616,0.17885264,0.00085671,0.09032084,0.0672538,-0.00041761,0.16976258,0.10263269,-0.00047946
"PEPEUSDT",2210,"OutOfSample",14,0,0,744,100,0.27240143,0.00037238,0,0.00981967,0.38358008,0.38492598,0.0738255,-0.06192661,6,6,0.6021978,-0.08610753,325529328319.4382,463724580611.6399,0.05781214,0.92836662,-0.00560224,-0.00837989,0.04411765,-0.04054054,-0.12345679,0.00416928,0.00809983,0.00742337,0.0098842,0.00973067,0.06976744,0.28301887,0.00193883,0.125,0.0955414,-0.00050174,0.23002421,0.11848341,-0.00070527
"WLDUSDT",2255,"OutOfSample",21,0,0,744,100,0.21518987,0.00032199,0,0.0109061,0.49528937,0.49394347,0.06790267,-0.09505208,7,7,0.54407713,-0.05698472,1964415.32688172,2263660.56923588,-0.16712601,0.89850539,0.01587302,0.01502504,0.00857064,-0.04,-0.0952381,0.00505301,0.00790457,0.00789361,0.00778994,0.00984307,0.04274683,0.05751391,0.00027015,0.09776021,0.09620253,-0.00072192,0.18304008,0.08163265,-0.00064025
"FDUSDUSDT",2259,"OutOfSample",19,0,0,744,100,0.00050095,6.8e-7,0,0.00013472,0.28802153,0.27860027,0.00090162,-0.0010009,4,5,0.71052632,-0.23438464,766603.91263441,1279103.60684479,0.17526477,0.82582737,0.00010015,-0.00010013,0.00010015,-0.0004004,-0.00050045,0.00008988,0.00008632,0.00011373,0.00012363,0.00014912,0.0005007,0.04347826,-0.00000405,0.00080104,0.06060606,6e-7,0.00170136,0.02762431,-0.00000199
"BLURUSDT",2364,"OutOfSample",52,0,0,744,100,0.08402778,0.00013865,0,0.00775099,0.47644684,0.46971736,0.04044118,-0.04764672,5,6,0.57680723,-0.09988889,751816.21209677,1718030.31103505,0.03385637,0.64110371,-0.01077313,-0.00762873,0.00256904,-0.03582458,-0.05793603,0.00428404,0.00442279,0.00558989,0.00777578,0.008278,0.03312102,0.02150538,-0.00047909,0.11460259,0.09119497,-0.00043635,0.11097852,0.05587893,-0.00026789
"JUPUSDT",2453,"OutOfSample",41,0,0,744,100,0.16692749,0.00025177,0,0.00936786,0.47510094,0.49663526,0.05023697,-0.06961178,12,8,0.52,-0.04515817,415461.1172043,469471.96785197,-0.00767619,0.80390714,0.0458158,0.05968735,0.09068747,0.01175938,0.06018957,0.01322794,0.01265344,0.00999573,0.00952287,0.01302551,0.12940608,0.465,0.00411018,0.12115732,0.02457467,-0.0004879,0.2017148,0.03556427,-0.00016504
"ETHFIUSDT",2540,"OutOfSample",29,0,0,744,100,0.36862461,0.00049499,0,0.01207605,0.49394347,0.49259758,0.07893738,-0.07006879,8,11,0.51108033,-0.00608049,353881.00107527,380772.62498618,0.06643998,0.8460722,0.04619364,0.04638699,0.08280742,0.05851561,-0.08203632,0.00826706,0.00881914,0.01147387,0.01077459,0.01106938,0.09334082,0.37103685,0.00214545,0.10364357,0.10628183,0.00050044,0.17639513,0.06654392,-0.00054642
"ENAUSDT",2556,"OutOfSample",10,0,0,744,100,0.86408978,0.00093523,0,0.01394117,0.47779273,0.46164199,0.09307737,-0.10058542,16,7,0.5304878,0.01334621,10505279.08830644,17143274.40625136,0.07134462,0.84282461,0.00133958,0.00133958,0.00877193,-0.0794335,-0.02095612,0.00612222,0.00872059,0.01031871,0.01338108,0.01929314,0.05372733,0.0459364,0.00046106,0.12638037,0.11802379,-0.00101834,0.35506779,0.00940623,0.00033235
"SAGAUSDT",2576,"OutOfSample",50,0,0,744,100,0.21422797,0.00039014,0,0.01607211,0.47106326,0.4858681,0.20388889,-0.19335487,7,7,0.544919,-0.15585684,4838621.67298387,11078483.71120424,-0.03945704,0.87983947,0.00535475,0.0040107,0.02385821,-0.00529801,0.00133333,0.00490508,0.00612222,0.00648044,0.0088977,0.00857714,0.04576043,0.17766497,-0.00010855,0.11450878,0.01104972,-0.00032438,0.12986157,0.00119332,0.00007727
"REZUSDT",2613,"OutOfSample",56,0,0,744,100,0.12035604,0.00019243,0,0.00885159,0.48048452,0.49394347,0.04306688,-0.08476621,7,8,0.53617021,-0.08204198,5931259.28521505,11535964.11674893,-0.04473358,0.70746373,-0.00344234,0.00034554,0.02951636,-0.02129817,-0.05792385,0.00397596,0.00624568,0.00636189,0.00652979,0.00791289,0.04175439,0.24483776,0.00065995,0.08010862,0.06256207,-0.00005538,0.14147599,0.06033898,-0.00058375
"POLUSDT",2733,"OutOfSample",35,0,0,744,100,0.26691834,0.0003685,0.0002656,0.01003684,0.52086137,0.46837147,0.06075898,-0.04891578,10,8,0.50413223,-0.01115865,2926104.40040322,4259828.21129226,0.12509911,0.85135153,-0.00121252,0.01296814,-0.0669344,-0.16233706,-0.22183099,0.00404778,0.01000742,0.01137501,0.01117854,0.01294748,0.11521739,0.34138655,-0.00315069,0.21430575,0.32627276,-0.00245058,0.36153714,0.15390574,-0.00147502
"THEUSDT",2801,"OutOfSample",34,0,0,744,100,0.34807692,0.00048326,0,0.01275112,0.46433378,0.44279946,0.10608424,-0.07196402,7,5,0.53947368,-0.10037534,484524.71330645,1276207.90566383,0.17104367,0.86681477,-0.00567376,-0.01544944,0.0494012,0.01889535,-0.01958042,0.00431522,0.00852881,0.00844097,0.00779894,0.00827925,0.08554572,0.30841121,0.00177376,0.09606987,0.04797048,0.00034925,0.13055556,0.01988636,-0.00033325
"PENGUUSDT",2860,"OutOfSample",42,0,0,744,100,0.43649227,0.00054347,0,0.01058724,0.49798116,0.487214,0.05978389,-0.06057007,9,6,0.51527778,-0.01711942,50666125.90860215,68471243.40651643,0.05925076,0.87375155,-0.00342427,-0.0018292,0.01617784,-0.05015231,-0.1113486,0.00542529,0.00692009,0.00683612,0.00829223,0.01112013,0.03680699,0.12013829,0.00063287,0.09233279,0.11667932,-0.00081751,0.20788138,0.08392145,-0.00063831
"TUTUSDT",3020,"OutOfSample",55,0,0,744,100,0.87755102,0.00204311,-0.00107945,0.0491197,0.487214,0.51009421,0.2384106,-0.17912433,13,12,0.49864499,-0.06270896,26820247.9717742,27540874.5306267,0.09260732,0.79989211,-0.04075829,-0.06122449,-0.12783683,-0.21367521,-0.35908803,0.00695528,0.0077443,0.01511258,0.02502411,0.02870198,0.18371429,0.47390841,-0.0061923,0.32368621,0.18009168,-0.00305827,0.71718652,0.10942425,-0.00261158
"ONDOUSDT",3044,"OutOfSample",33,0,0,744,100,-0.11279159,-0.00012785,0,0.0081238,0.4858681,0.4858681,0.03657588,-0.0786119,12,6,0.51285714,-0.02419478,1276756.1577957,1511565.15956863,-0.18557955,0.88531446,-0.0031682,-0.00057753,0.00581226,-0.02890011,-0.09374182,0.0035913,0.00684464,0.00636454,0.0063893,0.00751914,0.02710496,0.04901961,0.00017151,0.07152915,0.08326597,-0.00025134,0.15721649,0.10275545,-0.00053444
"USD1USDT",3110,"OutOfSample",1,0,0,744,100,-0.00022999,-3.1e-7,0,0.00005582,0.43876178,0.4333782,0.00026008,-0.00020998,7,5,0.51578947,-0.05907157,6809122.16263441,8197071.42355553,0.04943097,0.55647689,-0.00001,-0.00002,0.00011003,-0.00003,-0.00019,0.00004451,0.00008679,0.00007281,0.00006636,0.00006794,0.0004701,0.088,0.0000017,0.00058014,0.00864553,1e-7,0.00078004,0.02286402,-1.1e-7
"SOPHUSDT",3122,"OutOfSample",44,0,0,744,100,0.0075,0.00005499,0,0.00947501,0.41857335,0.4051144,0.0505618,-0.05365854,7,9,0.54059406,-0.01506607,4729602.75806452,13060567.75607466,-0.05603388,0.88129406,-0.00493827,-0.01946472,0.03598972,0.07180851,0.09214092,0.00568697,0.00893912,0.01141858,0.01067845,0.00943307,0.08439898,0.15217391,-0.00000334,0.1193634,0.11297071,0.00080425,0.21505376,0.0720339,0.00078445
"SAHARAUSDT",3154,"OutOfSample",4,0,0,744,100,0.08087291,0.00013971,0,0.0083573,0.45222073,0.44818304,0.03536585,-0.07348243,6,7,0.56239601,-0.10465961,4336587.41801075,6201485.30398841,-0.10475654,0.84765772,-0.00236967,0.01445783,0.03186275,0.01080432,0.01813785,0.00243856,0.00683057,0.00850154,0.00897195,0.00884943,0.06349206,0.20967742,0.00094495,0.07351225,0.0237467,-0.00021129,0.10965435,0.01691094,0.00020696
"WLFIUSDT",3226,"OutOfSample",24,0,0,744,100,0.04744526,0.00009582,0,0.00814419,0.40780619,0.4064603,0.05648855,-0.08526012,7,5,0.57113821,-0.08046607,5016641.91706989,12569953.75461812,-0.20963731,0.91728612,-0.01034483,-0.00347222,0.02867384,-0.00692042,-0.00173913,0.00263955,0.00457221,0.00719095,0.00664108,0.00770269,0.04895105,0.22857143,0.00064913,0.07931034,0.02298851,-0.0000736,0.12241379,0.00189036,-0.00010867
"HOLOUSDT",3251,"OutOfSample",6,0,0,744,100,-0.04041916,0.00006342,0,0.01543274,0.44549125,0.47106326,0.15892421,-0.09598214,8,8,0.5199362,-0.01712948,1260040.93534946,2951151.37319393,-0.03357438,0.84260105,0.00470219,-0.00155763,0.01424051,-0.03898051,-0.08034433,0.00948114,0.01128489,0.00943934,0.0089644,0.01342354,0.05956113,0.07964602,-0.00006815,0.10510511,0.08666667,-0.00061568,0.25710227,0.05679513,-0.00037647
"PUMPUSDT",3256,"OutOfSample",12,0,0,744,100,1.1245229,0.00112526,0.00037092,0.01492724,0.50740242,0.487214,0.06994637,-0.04792469,7,8,0.52997275,-0.0806788,308387153.2311828,284155295.36738104,0.0957523,0.85161527,0.02226814,0.03341843,-0.00447127,-0.03802117,-0.06153846,0.01048608,0.00941584,0.01105912,0.01170948,0.01451046,0.077951,0.02183406,0.00085272,0.20204822,0.05998637,-0.00145688,0.19671791,0.03321957,-0.00030256
"XPLUSDT",3289,"OutOfSample",38,0,0,744,100,0.1424098,0.00024267,0.00038911,0.01124952,0.51816958,0.47375505,0.08745721,-0.09966468,8,8,0.48426813,-0.03768473,17208720.65416667,79490053.26250164,0.0906073,0.19637722,-0.0179073,-0.02769409,-0.00202188,-0.00803878,-0.1382356,0.0044587,0.00760362,0.01082514,0.00928212,0.01127383,0.07908283,0.00935608,-0.00144158,0.10016635,0.01494505,0.00030666,0.1901444,0.10546936,-0.00045845
"UUSDT",3470,"OutOfSample",20,0,0,744,100,-0.00079952,-0.00000107,0,0.00008003,0.25841184,0.269179,0.00020016,-0.0002001,3,3,0.8195122,-0.33252879,922025.96102151,948294.09415425,-0.06817788,0.62893218,0.00010003,0.00020008,0.00020008,0.00030015,0.00040024,0.00008978,0.00009863,0.00009541,0.00008734,0.00007943,0.00040016,0.11111111,0.00000752,0.0005003,0.06122449,0.00000287,0.00070035,0.04166667,0.00000108
"RLUSDUSDT",3480,"OutOfSample",2,0,0,744,100,-0.0004995,-6.7e-7,0,0.00009411,0.28936743,0.28936743,0.00039988,-0.00039964,3,3,0.772,-0.27120282,2416648.04166667,3264757.29702888,0.00140722,0.47236872,0.00009996,0,0.00019994,0.00009996,0.00019994,0.00010669,0.00008163,0.0000759,0.00009048,0.00010173,0.00039988,0.16666667,0.00000117,0.00069986,0.0212766,-0.00000119,0.00089982,0.01639344,8.7e-7
"CHIPUSDT",3564,"OutOfSample",59,0,0,744,100,0.53133622,0.00072531,0,0.01735798,0.49798116,0.48990579,0.07969215,-0.10764331,9,7,0.50552486,-0.08937467,5150612.67607527,8574297.7606889,0.0035263,0.78007179,0.00961538,-0.03068862,0.01092896,-0.07035176,0.20167028,0.00584303,0.00686896,0.01339207,0.0163341,0.0221057,0.10704153,0.04439746,-0.00033318,0.16666667,0.08258427,-0.00098961,0.55993837,0.06417323,0.00171488
"AEROUSDT",3646,"OutOfSample",51,0,0,744,100,0.12619048,0.00019603,-0.00024863,0.00850177,0.46837147,0.51144011,0.06007137,-0.05398968,9,8,0.51966292,-0.07632543,155706.5797043,219884.36968174,0.18114933,0.79876718,-0.00776169,-0.00817782,-0.01499375,-0.03744404,-0.13322338,0.00354233,0.00692985,0.00678318,0.0071217,0.00929992,0.02880232,0.11960133,-0.00019253,0.07269395,0.10760234,-0.00031881,0.18621074,0.13415759,-0.00073695
"BNBUSDT",98,"OutOfSample",3,-0.01712986,-0.00003172,744,100,0.17450018,0.00022456,0.00005105,0.00401626,0.51009421,0.487214,0.03510403,-0.03592129,9,9,0.49322493,-0.03014646,5420.48000538,6276.62329605,0.06427315,0.87889225,-0.00206388,0.00615532,0.00978474,-0.00004339,-0.0182732,0.00140577,0.00294372,0.00289117,0.00296888,0.00376473,0.01812671,0.18306011,0.00056059,0.03611284,0.00029174,-0.0000219,0.05760239,0.04100424,-0.00014135
"NEARUSDT",1097,"OutOfSample",7,-0.06066622,-0.00202221,744,100,0.15713426,0.00023387,0,0.00862631,0.48855989,0.4602961,0.03844071,-0.07656177,11,8,0.50074738,-0.09708268,546278.51706989,701963.07827666,-0.18734918,0.90711278,0.03001072,0.03556034,0.05604396,0.05372807,-0.0168798,0.00357224,0.01039751,0.01069648,0.00904217,0.00871916,0.06688068,0.29651163,0.00159257,0.08439051,0.117506,0.00049789,0.11669203,0.01637717,-0.00016542
"XRPUSDT",306,"Sample",6,-0.08529876,-0.00852988,744,100,0.29790236,0.00039052,0.00007341,0.00889281,0.50201884,0.48317631,0.06497755,-0.08106808,9,7,0.52222222,-0.06080875,5289681.22634408,7951498.79087746,0.0030943,0.94942988,-0.00382644,0.0061985,0.01642726,-0.00289059,-0.06877236,0.0016488,0.00436437,0.00570253,0.00558167,0.00671855,0.04167887,0.16433309,0.00111466,0.07106709,0.01064963,-0.00017252,0.14283819,0.08833984,-0.00039766
"TRUMPUSDT",2908,"OutOfSample",28,-0.15924543,-0.00176939,744,100,0.70007008,0.00087723,0,0.01848705,0.47779273,0.48048452,0.24032772,-0.0773744,6,7,0.50879765,0.29971985,587051.94644758,1290466.34703812,0.20711678,0.94467715,0.00165153,0.02104377,0.03586678,-0.11330409,0.01336675,0.00550774,0.01254022,0.01281895,0.01579925,0.0177868,0.06562894,0.14583333,0.0017106,0.28329734,0.14918191,-0.00245292,0.38990639,0.00597907,0.00062179
"NVDABUSDT",3593,"OutOfSample",40,-0.38973518,-0.00054892,744,100,0.10592604,0.00014289,0.00013657,0.00384888,0.54374159,0.45087483,0.03922127,-0.02562674,8,8,0.51771117,-0.0733443,355.16617876,715.5731678,0.24420303,0.82093706,0.0031405,0.00643865,0.01571501,0.01105555,0.05530285,0.00432625,0.00358689,0.00292044,0.00192436,0.00521693,0.02372213,0.28776371,0.00058247,0.0237341,0.12936125,0.0000627,0.12470116,0.11182109,0.00019894
"PAXGUSDT",968,"OutOfSample",22,-0.44542463,-0.00062736,744,100,0.09998418,0.00013065,0.00003199,0.00218343,0.51682369,0.48317631,0.01537023,-0.01139398,9,8,0.48921833,0.05376537,133.13118522,172.078449,0.05174508,0.67999335,0.00318006,-0.00077224,-0.00070045,-0.00241824,-0.04761569,0.00190725,0.00240656,0.00230189,0.00137653,0.00238751,0.01596929,0.01659398,0.00011237,0.01816136,0.04193385,-0.00008307,0.06240314,0.18649749,-0.00032733
"UNIUSDT",1042,"OutOfSample",9,-0.6445915,-0.00429728,744,100,0.21561338,0.0003136,0.00048721,0.01006552,0.51951548,0.4589502,0.05011442,-0.06760118,8,7,0.52112676,-0.00115988,217402.46669355,261584.52327999,-0.11943773,0.82377777,0.00499424,0.02028081,0.01968427,0.17917512,0.2074775,0.0041449,0.0098529,0.00891474,0.01241059,0.01042716,0.06173559,0.12932138,0.00133229,0.25819579,0.25719832,0.00317331,0.30994017,0.15208932,0.00137006
"GRAMUSDT",3623,"OutOfSample",46,-0.7951502,-0.015903,744,100,-0.01421464,0.00000503,0,0.00696458,0.43741588,0.46433378,0.06559878,-0.07218684,5,7,0.55354201,-0.21080755,212519.61560484,313839.39639312,0.12576063,0.87546664,0.00580131,0.03507463,0.03817365,0.01314828,-0.05194805,0.00970442,0.01579165,0.01171103,0.00759494,0.00709692,0.10365399,0.20647773,0.00207892,0.1020558,0.03964758,0.00007357,0.126703,0.06678383,-0.00047951
