symbol,binanceArrayPosition,candleCount,firstCandleTime,lastCandleTime,strategyDatasetGroup,strategyNetProfit,strategyReturnPct,totalReturnPct,hourlyReturnMeanPct,hourlyReturnMedianPct,hourlyReturnStdPct,positiveHourRatePct,negativeHourRatePct,meanHourlyRangePct,medianHourlyRangePct,hourlyRangeStdPct,maxHourlyGainPct,maxHourlyLossPct,maxPositiveRunHours,maxNegativeRunHours,reversalRatePct,returnAutocorrelation1h,meanVolume,medianVolume,volumeStd,meanQuoteVolumeProxy,medianQuoteVolumeProxy,quoteVolumeProxyStd,volumeReturnCorrelation,volumeRangeCorrelation,rolling6hReturnMeanPct,rolling6hReturnStdPct,rolling12hReturnMeanPct,rolling12hReturnStdPct,rolling24hReturnMeanPct,rolling24hReturnStdPct,rolling72hReturnMeanPct,rolling72hReturnStdPct,rolling168hReturnMeanPct,rolling168hReturnStdPct,rolling24hVolatilityPct,rolling72hVolatilityPct,rolling168hVolatilityPct,rolling24hRangeMeanPct,rolling72hRangeMeanPct,rolling168hRangeMeanPct,rolling24hEfficiencyMean,rolling72hEfficiencyMean,rolling168hEfficiencyMean,rolling24hTrendSlopeMeanPct,rolling72hTrendSlopeMeanPct,rolling168hTrendSlopeMeanPct
ZECUSDT,23,744,1785542400000,1788217200000,Sample,19.093584879365956,0.013936923269610187,84.55813548625773,0.08804365972646795,0.0005965875193885518,1.0085505264023662,50,49.865591397849464,1.4412500040380052,1.0914139770236084,1.2222645380765857,9.510058978165828,-4.20464357670537,8,8,50.47106325706595,0.046989862186674884,6654.961356182793,3665.1125,8474.556113860353,4572224.171039205,2058893.8924500002,6360172.13162746,0.24802912150632697,0.8591513437303623,0.53595792000509,2.693487331643158,1.064334235146378,4.023983241482062,2.1594812206940635,6.4456544955395545,7.096273625852079,14.77428868602732,18.28891582817532,25.35789733329499,0.8625405546840776,0.9008360897766091,0.9617895963279631,1.4482050352920846,1.4565324778957782,1.4778815330227313,0.22009211197643883,0.14600371231243242,0.12468794103394482,0.08907507240573742,0.09908277550174423,0.1081993817918954
YFIUSDT,70,744,1785542400000,1788217200000,Sample,10.855240665586129,0.009606407668660291,11.48277583624564,0.020604324156408796,0,0.663332770119504,47.983870967741936,48.38709677419355,0.8540656332240405,0.6571741826854973,0.7555466934131638,4.059040590405904,-6.257378984651712,7,8,50.6056527590848,-0.1294532419116602,5.284424287634406,3.5077949999999998,7.144635335773505,11491.144652379031,7417.0859550000005,16355.1598480876,-0.15006555826294846,0.8111899251210432,0.0907847994416775,1.510646666616075,0.16949074003341275,1.9547894408779514,0.35478137942597193,2.7619237307694857,0.9704819771893481,5.529907348006171,3.074966958812697,9.83242671734793,0.5970790594648552,0.6197054455704206,0.6508867142053786,0.8579261909074428,0.8605320360310698,0.8713677599432623,0.16676415892389052,0.1050912279244218,0.09923383150120693,0.014143028548758187,0.012969193426970626,0.0177595142282104
COMPUSDT,62,744,1785542400000,1788217200000,Sample,8.681159349790141,0.00894964881421664,16.021765417170506,0.023374738015805835,0,0.7498981077112501,48.52150537634409,45.026881720430104,0.9004927458560381,0.666697956825181,0.8294195571044783,4.494382022471919,-6.505771248688346,6,7,46.02960969044415,-0.06456718702586053,1529.0649045698913,642.788,2896.857556637904,28033.752569543,11136.46366,53380.70726776854,0.055978691999531746,0.7637768728576976,0.12452337202910635,1.737641624122811,0.2459471768117025,2.2771724186905207,0.4727136444294724,2.9864176906414426,1.3822603135444365,5.549083339286037,4.648644049725047,10.097159131747954,0.6472450773136773,0.6994928254472776,0.7175410079678234,0.9062075331521883,0.9209365587606878,0.939776806724526,0.15787729334951206,0.10892067521163197,0.0795288020421129,0.019908449546161087,0.01858062252403541,0.02727140460740097
BTCUSDT,0,744,1785542400000,1788217200000,Sample,5.414565649921552,0.005156729190401478,24.855059764361776,0.03072210110859982,0.00836477684762969,0.396541662629502,51.344086021505376,48.655913978494624,0.4831525017775035,0.3672112326878266,0.4475158328406009,3.9906885602202826,-1.6999036816715805,8,7,52.62449528936743,0.012605942661721247,634.4801998118285,453.696855,657.5702925248953,45191754.22223423,30604766.39148415,49036135.94807928,0.3362652340040076,0.884357770823815,0.18703836469819393,1.0090490624221766,0.3732849935015737,1.4873360403114229,0.7589477758537199,2.3746492454451924,2.4495911603698586,5.440241907466339,6.7146265146812905,9.665074350046194,0.32241222103092443,0.34860836833940817,0.37733074823902435,0.48635371647599634,0.4910860127208053,0.4935507273861427,0.20883363491207024,0.1638764325106107,0.1521919302273105,0.031543153798778305,0.03416903435517462,0.03999566596448213
DCRUSDT,68,744,1785542400000,1788217200000,Sample,5.315004369275451,0.005368691282096415,11.017597551644975,0.017694899323567197,0,0.8521905768289152,49.46236559139785,45.96774193548387,1.0678150863412463,0.8287189335757406,0.9859051416794329,11.368909512761025,-5.7948316366483965,6,7,48.31763122476447,0.00577453499897964,923.3208346774194,434.8935,1544.041511234636,12314.041412956993,5640.39791,21559.270712632195,0.1681555846427319,0.9057543914750822,0.11536425534120338,1.786746995080563,0.20119748916711913,2.3532144866053613,0.37754575536266516,3.2546887506869897,0.9747875597256918,6.320796479467068,2.3281956060821667,9.362934670866116,0.6894436148378342,0.7434272086143142,0.8181538209758793,1.05765845535682,1.0582664474027546,1.072738944691391,0.15023234103637484,0.10568515219290475,0.08351729870028585,0.015388955319251676,0.012850758325342604,0.01223349382720033
AAVEUSDT,91,744,1785542400000,1788217200000,OutOfSample,4.23979032319625,0.007851463561474538,35.36532170119955,0.04174914058646852,0.016603580462302814,0.8773271520864216,50.806451612903224,48.79032258064516,1.1455729290989047,0.8485369538323209,0.9689875489561924,5.825154489276623,-5.138527113426467,10,7,48.99057873485868,0.022463134619769575,5672.101211021507,3333.6255,7156.93104242395,633938.7827556988,334269.9131,885377.7276620817,0.10115123669859881,0.8529544467507297,0.26438048610683845,2.1885158821033044,0.5417267381003401,3.222887932040575,1.1307640614575325,5.11735012244237,3.8920907839486265,12.230479797041577,11.662615865106334,21.28404647765432,0.7278375314836794,0.76454102329492,0.8289661005811767,1.1498130518567842,1.1582141524626925,1.1765917553582352,0.19764388334425734,0.12699677447413976,0.10985338185487661,0.046860104396369506,0.05457519117520604,0.06961028330173726
SOLUSDT,57,744,1785542400000,1788217200000,Sample,4.087759926981848,0.0070478619430721515,41.15874537734556,0.04830833743936296,0.013119109674662087,0.6040493745337294,50.53763440860215,47.31182795698925,0.8191199566460173,0.5989731251506101,0.7822098369086815,3.487816531294794,-4.952592293726041,11,6,49.66352624495289,-0.02558449036100544,98121.75248521494,58502.0965,120282.39491427629,8860769.913641486,4646117.689875,11724020.19751766,0.08290183773692333,0.9235455408612103,0.29504206006317923,1.4414513998284457,0.5931888144411789,2.120584433911288,1.2195163662216524,3.1771271245256414,4.046812237403918,5.9670165235901775,10.76378097671178,10.048439202945529,0.5161482708528792,0.5440171365068903,0.569030652861869,0.824843505231691,0.8319028759090801,0.832532667938595,0.21049258519252037,0.1408608598158995,0.13503623823528396,0.05066642130585275,0.05649729188967744,0.06506898164772004
LTCUSDT,4,744,1785542400000,1788217200000,Sample,3.923765538256096,0.005302385862508238,9.59367945823928,0.014459384919129821,0.021746228021345862,0.5204360618809754,50.94086021505376,45.564516129032256,0.688739669683443,0.5011484843030115,0.6073006812806713,3.6440507348500004,-5.2813695137497705,8,6,51.27860026917901,-0.1698168762161781,11839.706270161283,8167.807500000001,13380.803734758223,574983.365999408,383314.85277500004,698613.9606522284,-0.09949440468582528,0.8712884794020616,0.08106332896046922,1.1438954692333165,0.15820979120560336,1.5774372426280485,0.3307348343214351,2.3566144549450203,1.1509581782456813,5.114871968332311,3.32202683420344,8.209396182160337,0.42755668857192297,0.4513159579278253,0.48737211935576785,0.6928784917126027,0.7005493423455222,0.7134069331063732,0.18919109224873243,0.1266735730570886,0.10314339665182236,0.0136995886138472,0.015920115762000173,0.01979962902129261
ETHUSDT,1,744,1785542400000,1788217200000,Sample,3.237304214147783,0.004496255852983032,32.33496004719258,0.03925730198881766,0.007901133945197043,0.545532179409246,51.61290322580645,48.11827956989247,0.6532154544118541,0.4887233230310738,0.6393947552132604,5.846920496698994,-2.962102742967592,8,8,54.23956931359354,0.09111008405311788,10867.11061048388,6940.0905999999995,13908.865834138884,24178086.198382135,14064165.982199501,32224096.987584714,0.34279494069258265,0.9156481816728457,0.23951407309441794,1.4758775015839196,0.48194337436087636,2.2762888716447867,0.975724462498188,3.4722569026849466,3.239136331971822,7.466782985740004,8.940206450155396,12.378063076956746,0.4353967118652834,0.4672004500630991,0.511078631250638,0.6589358640099731,0.6612727649467227,0.6661084234537296,0.18408859135189665,0.13183940410627448,0.13609588164866693,0.04050657350786342,0.04509675441950684,0.05377805163629391
DASHUSDT,26,744,1785542400000,1788217200000,Sample,2.744131462295859,0.00397700211926936,43.55612408058842,0.057540161571458324,0,1.1321352401096716,48.79032258064516,47.8494623655914,1.2849098214408885,0.822233207566763,1.3759305302416651,14.439549681840427,-6.583710407239828,6,7,50.47106325706595,0.06609931300878587,7788.678358870961,3570.449,13503.884908165126,300891.65517427435,115687.35159,589501.7745739248,0.1660438780744709,0.8788545982939854,0.3406624298303328,2.8375016583858215,0.6612249121671618,3.794261277234961,1.2244212350214216,5.132790267466041,3.6285459913087332,10.643777374644227,8.80478652037559,15.505706474328477,0.812880765106313,0.8512661680919148,0.9467912527984039,1.2651888389576864,1.2468045390598907,1.26013540097818,0.19096512044358854,0.11660619601693127,0.0860994900633154,0.05075226304730712,0.05002050704599525,0.05016531959881455
