strengthDefinition,scope,quintile,target,deadlineMinutes,signalCount,hitCount,hitRatePct
slopeExcess,allSignals,,4pct,720,115753,18590,16.060058918559346
slopeExcess,allSignals,,4pct,1440,115753,30861,26.661080058400216
slopeExcess,allSignals,,4pct,2160,115753,39136,33.80992285297141
slopeExcess,allSignals,,4pct,2880,115753,45779,39.54886698400905
combinedStrength,allSignals,,1pct,60,115753,20478,17.691118156764833
combinedStrength,allSignals,,1pct,120,115753,31239,26.987637469439235
combinedStrength,allSignals,,1pct,360,115753,53337,46.07828738779988
combinedStrength,allSignals,,1pct,720,115753,66437,57.39548866984009
combinedStrength,allSignals,,1pct,1440,115753,77838,67.24490941919431
combinedStrength,allSignals,,1pct,2160,115753,84409,72.92165213860548
combinedStrength,allSignals,,1pct,2880,115753,88825,76.73667205169629
combinedStrength,allSignals,,2pct,60,115753,5440,4.699662211778528
combinedStrength,allSignals,,2pct,120,115753,10785,9.317253116549896
combinedStrength,allSignals,,2pct,360,115753,26949,23.281470026694773
combinedStrength,allSignals,,2pct,720,115753,40439,34.93559562171175
combinedStrength,allSignals,,2pct,1440,115753,53632,46.33314039376949
combinedStrength,allSignals,,2pct,2160,115753,62089,53.639214534396515
combinedStrength,allSignals,,2pct,2880,115753,69111,59.705579984968
combinedStrength,allSignals,,4pct,60,115753,929,0.8025709916805611
combinedStrength,allSignals,,4pct,120,115753,2567,2.217653106182993
combinedStrength,allSignals,,4pct,360,115753,9599,8.29265764170259
combinedStrength,allSignals,,4pct,720,115753,18590,16.060058918559346
combinedStrength,allSignals,,4pct,1440,115753,30861,26.661080058400216
combinedStrength,allSignals,,4pct,2160,115753,39136,33.80992285297141
combinedStrength,allSignals,,4pct,2880,115753,45779,39.54886698400905
accelerationToSlopeRatio,allSignals,,1pct,60,115753,20478,17.691118156764833
accelerationToSlopeRatio,allSignals,,1pct,120,115753,31239,26.987637469439235
accelerationToSlopeRatio,allSignals,,1pct,360,115753,53337,46.07828738779988
accelerationToSlopeRatio,allSignals,,1pct,720,115753,66437,57.39548866984009
accelerationToSlopeRatio,allSignals,,1pct,1440,115753,77838,67.24490941919431
accelerationToSlopeRatio,allSignals,,1pct,2160,115753,84409,72.92165213860548
accelerationToSlopeRatio,allSignals,,1pct,2880,115753,88825,76.73667205169629
accelerationToSlopeRatio,allSignals,,2pct,60,115753,5440,4.699662211778528
accelerationToSlopeRatio,allSignals,,2pct,120,115753,10785,9.317253116549896
accelerationToSlopeRatio,allSignals,,2pct,360,115753,26949,23.281470026694773
accelerationToSlopeRatio,allSignals,,2pct,720,115753,40439,34.93559562171175
accelerationToSlopeRatio,allSignals,,2pct,1440,115753,53632,46.33314039376949
accelerationToSlopeRatio,allSignals,,2pct,2160,115753,62089,53.639214534396515
accelerationToSlopeRatio,allSignals,,2pct,2880,115753,69111,59.705579984968
accelerationToSlopeRatio,allSignals,,4pct,60,115753,929,0.8025709916805611
accelerationToSlopeRatio,allSignals,,4pct,120,115753,2567,2.217653106182993
accelerationToSlopeRatio,allSignals,,4pct,360,115753,9599,8.29265764170259
accelerationToSlopeRatio,allSignals,,4pct,720,115753,18590,16.060058918559346
accelerationToSlopeRatio,allSignals,,4pct,1440,115753,30861,26.661080058400216
accelerationToSlopeRatio,allSignals,,4pct,2160,115753,39136,33.80992285297141
accelerationToSlopeRatio,allSignals,,4pct,2880,115753,45779,39.54886698400905
