Name,SampleNetProfit,OutOfSampleNetProfit,NetProfitDifference,SampleReturnPct,OutOfSampleReturnPct,ReturnDifference,SampleAccepted,OutOfSampleAccepted,SampleWinRate,OutOfSampleWinRate,SampleRejectedByCapacity,OutOfSampleRejectedByCapacity,SampleBinanceArrayPosition,OutOfSampleBinanceArrayPosition
JUPUSDT,0,0,0,0,0,0,0,0,0,0,0,3,,2453
KAVAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,642,
KNCUSDT,0,0,0,0,0,0,0,0,0,0,0,0,812,
LSKUSDT,0,0,0,0,0,0,0,0,0,0,15,0,718,
MANAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,902,
MARSCOINUSDT,0,0,0,0,0,0,0,0,0,0,0,41,,3690
MBLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,749,
MINAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,1563
MTLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,588,
OGNUSDT,0,0,0,0,0,0,0,0,0,0,0,0,697,
ONDOUSDT,0,0,0,0,0,0,0,0,0,0,0,4,,3044
ONEUSDT,0,0,0,0,0,0,0,0,0,0,0,0,525,
PENGUUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2860
PEPEUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2210
POLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2733
PUMPUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3256
RAYUSDT,0,0,0,0,0,0,0,0,0,0,0,396,,1566
REZUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2613
RLCUSDT,0,0,0,0,0,0,0,0,0,0,8,0,652,
RLUSDUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3480
RVNUSDT,0,0,0,0,0,0,0,0,0,0,0,0,623,
SAGAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2576
SAHARAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3154
SCUSDT,0,0,0,0,0,0,0,0,0,0,0,0,841,
SNXUSDT,0,0,0,0,0,0,0,0,0,0,4,0,849,
SOPHUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3122
SUIUSDT,0,0,0,0,0,0,0,0,0,0,0,130,,2202
TFUELUSDT,0,0,0,0,0,0,0,0,0,0,0,0,519,
THETAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,494,
THEUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2801
TRXUSDT,0,0,0,0,0,0,0,0,0,0,0,0,350,
TUTUSDT,0,0,0,0,0,0,0,0,0,0,0,11,,3020
USD1USDT,0,0,0,0,0,0,0,0,0,0,0,0,,3110
USDCUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,422
UUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3470
VTHOUSDT,0,0,0,0,0,0,0,0,0,0,0,0,858,
WINUSDT,0,0,0,0,0,0,0,0,0,0,0,0,577,
WLDUSDT,0,0,0,0,0,0,0,0,0,0,0,24,,2255
WLFIUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3226
XLMUSDT,0,0,0,0,0,0,0,0,0,0,1,0,334,
XPLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3289
XTZUSDT,0,0,0,0,0,0,0,0,0,0,1,0,621,
ZILUSDT,0,0,0,0,0,0,0,0,0,0,0,0,467,
ZRXUSDT,0,0,0,0,0,0,0,0,0,0,0,0,469,
牛来USDT,0,0,0,0,0,0,0,0,0,0,0,8,,3696
BNBUSDT,0,-0.017129862467172297,-0.017129862467172297,0,-0.00003172196753180055,-0.00003172196753180055,0,54,0,0.5925925925925926,0,4371,,98
NEARUSDT,0,-0.060666223090151794,-0.060666223090151794,0,-0.002022207436338393,-0.002022207436338393,0,3,0,0.3333333333333333,0,1220,,1097
XRPUSDT,-0.08529875666074481,0,0.08529875666074481,-0.008529875666074481,0,0.008529875666074481,1,0,0,0,358,0,306,
TRUMPUSDT,0,-0.15924542743538672,-0.15924542743538672,0,-0.0017693936381709635,-0.0017693936381709635,0,9,0,0.6666666666666666,0,1647,,2908
NVDABUSDT,0,-0.38973517562196713,-0.38973517562196713,0,-0.0005489227825661509,-0.0005489227825661509,0,71,0,0.5774647887323944,0,3742,,3593
PAXGUSDT,0,-0.4454246266268,-0.4454246266268,0,-0.000627358629051831,-0.000627358629051831,0,71,0,0.5492957746478874,0,4576,,968
UNIUSDT,0,-0.6445915026535254,-0.6445915026535254,0,-0.004297276684356836,-0.004297276684356836,0,15,0,0.6666666666666666,0,2572,,1042
GRAMUSDT,0,-0.7951502031049242,-0.7951502031049242,0,-0.015903004062098484,-0.015903004062098484,0,5,0,0.2,0,252,,3623
XAUTUSDT,0,-0.8260042193576344,-0.8260042193576344,0,-0.0010197582955032522,-0.0010197582955032522,0,81,0,0.6049382716049383,0,4504,,3544
SPCXBUSDT,0,-1.058746592083142,-1.058746592083142,0,-0.0015802187941539433,-0.0015802187941539433,0,67,0,0.6268656716417911,0,4100,,3596
TAOUSDT,0,-1.3859942816413302,-1.3859942816413302,0,-0.0028285597584516943,-0.0028285597584516943,0,49,0,0.5102040816326531,0,4026,,2587
QQQBUSDT,0,-1.790808112335525,-1.790808112335525,0,-0.002984680187225875,-0.002984680187225875,0,60,0,0.3,0,4137,,3617
BCHUSDT,-2.1195238795901137,0,2.1195238795901137,-0.002077964587833445,0,0.002077964587833445,102,0,0.7058823529411765,0,4112,0,661,
SNDKBUSDT,0,-2.7366554408728145,-2.7366554408728145,0,-0.0035540979751594996,-0.0035540979751594996,0,77,0,0.6623376623376623,0,4046,,3594
ETCUSDT,-2.914877561018076,0,2.914877561018076,-0.010051301934545091,0,0.010051301934545091,29,0,0.6896551724137931,0,2472,0,351,
SOXLBUSDT,0,-6.357173248228543,-6.357173248228543,0,-0.010090751187664355,-0.010090751187664355,0,63,0,0.4603174603174603,0,3985,,3632
